Unique_ID,Category,Review_Header,Review_text,Rating,Own_Rating
136040,smartTv,Nice one,I liked it,5,Positive
134236,mobile,Huge battery life with amazing display,"I bought the phone on Amazon and been using my Samsung M30s for couple of weeks now. Delivery experience from Amazon - top notch. The best thing about the phone is its battery life. With normal usage, the battery works for days. With lots of gaming and app usage, it still easily works for 2 days. With 6000 mAH battery life is no problem at all. The 6.4"" super AMOLED display is awesome. The camera notch at top is minimum. Gives a very immersive experience while gaming or watching videos. With 8 core CPU, performance of gaming and other heavy apps is extremely good. The back camera is 48MP triple rear camera. What that means is you can snap photos normally and ultra-wide shots. The night mode is also good. Front camera is also good. No auto-focus for front camera. Optical image stabilisation is missing for both cameras. All in all, the camera is great in the price range. The pricing of the phone makes it a great buy. The build quality is similar to other Samsung phones. Very light weight and sleek phone. Only disadvantage I found is the speakers of this phone. No stereo support and the only speaker at the bottom is very low in volume. Verdict - With the given price range, the battery life, great camera and amazing display makes this phone a great buy !!",5,Positive
113945,books,Four Stars,"Awesome book at reasonable price, must buy .........",4,Positive
168076,smartTv,Nice quality,good,5,Positive
157302,books,Nice book,"The book is fine,not bad,contains nice concepts and nicely explained. Likes its concepts.",3,Neutral
146539,smartTv,Nice tv,Nice tv and pic quality .good custmer srrvice my tv install 3 hours Isme home theater kaise lagega,5,Positive
157661,smartTv,Beauty and the Beast,"The iPhone 7 is legitimately among the most interesting, opinionated, powerful phones Apple has ever shipped, and the most confident expressions of the company's vision in a long time. New iOS 11 is excellent, the camera is much better, and the performance is phenomenal (stay away from Android users who say I have 4 - 6 - 8 - or - 100 GB of RAM, iPhone beats everyone in limited resources). Good Stuff - Water resistance - Improved cameras - Better battery life - Great display - Taptic engine feedback is neat Bad Stuff * Trust me these are advanced features that we are not used to if you are then these are Good stuff. - Lack of headphone jack is inconvenient - Wireless audio ecosystem is immature",5,Positive
110329,mobile,"20000 mAH, what more you need","20000 mAH, what more you need. Super product",5,Positive
157473,mobile,Need more good quality,The company should give more Bettany backup and screen saver,2,Negative
163223,mobile accessories,Good phone,Very good phone,5,Positive
128878,smartTv,Good option for AI home,Good option,4,Positive
153393,mobile,Good Mobile at this price range.,Redmi note 6 pro is the best mobile at the best price available in India. no other brands are coming near to its price n performance n quality.,5,Positive
126986,smartTv,Thank you,Good,5,Positive
151904,smartTv,"Cool product, bad service",Product is good as expected but after sale service from the company not delivered as promised for free demo and wall mount installation.,1,Negative
130407,refrigerator,Four Stars,Good product 👍,4,Positive
128968,smartTv,Good phone,Good phone,5,Positive
140983,smartTv,Value for money and a good user interface,"I’m a fan of Alexa Fire Stick. Its a value for money thing and your TV has whole lot of good options to spend time on. Definitely recommended. Easy user interface and voice control. There’s a small lag in voice command, that can be fixed.",5,Positive
120379,books,Four Stars,Delivered in time. Worth reading.,4,Positive
112316,mobile,Awesome,Amazing phone,5,Positive
162756,mobile,.,Very good,5,Positive
165524,smartTv,Good product at this rate.....,Wide screen and picture quality is Fine Sound quality is average Easy to connect with all apps,4,Positive
159823,mobile,Best iPhone,This is my second iPhone after SE and this is very big change for me i loved this product Trust me this is best phone in current market,5,Positive
